Club,Arrests
Bournemouth,1
Brentford,3
Bury,16
Carlisle,9
Charlton,6
Chesterfield,8
Colchester,1
Exeter,7
Hartlepool,3
Huddersfield,27
Leyton Orient,0
MK Dons,2
Notts County,6
Oldham,22
Preston,23
Rochdale,3
Scunthorpe,1
Sheffield U,48
Sheffield W,62
Stevenage,0
Tranmere,16
Walsall,3
Wycombe,2
Yeovil,0
