Club,Arrests
Accrington,2
AFC Wimbledon,1
Aldershot,5
Barnet,5
Bradford,55
Bristol Rovers,23
Burton Albion,0
Cheltenham,3
Crawley,2
Crewe,4
Dagenham,4
Gillingham,8
Hereford,9
Macclesfield,2
Morecambe,0
Northampton,1
Oxford,17
Plymouth,14
Port Vale,16
Rotherham,1
Shrewsbury,11
Southend,10
Swindon,44
Torquay,1
