Club,Arrests
Accrington,0
AFC Wimbledon,8
Aldershot,5
Barnet,7
Bradford,21
Bristol Rovers,25
Burton Albion,4
Cheltenham,3
Chesterfield,17
Dagenham,0
Exeter,6
Fleetwood,0
Gillingham,14
Morecambe,9
Northampton,9
Oxford,39
Plymouth,5
Port Vale,19
Rochdale,2
Rotherham,19
Southend,6
Torquay,1
Wycombe,0
York City,11
