Club,Arrests
Barnsley,23
Bristol City,44
Burnley,41
Cardiff,44
Coventry,27
Crystal Palace,25
Derby,25
Doncaster,15
Hull,18
Ipswich,20
Leeds,149
Leicester,23
Middlesbrough,49
Millwall,51
Norwich,12
Notts Forest,34
Portsmouth,22
Preston NE,20
QPR,26
Reading,11
Scunthorpe,5
Sheffield W,26
Swansea,35
Watford,8
