Club,Arrests
Accrington,8
Aldershot,8
Barnet,20
Bradford,15
Burton Albion,4
Bury,1
Cheltenham,2
Chesterfield,19
Crewe Alexandra,12
Gillingham,2
Hereford,11
Lincoln,16
Macclesfield,3
Morecambe,1
Northampton,13
Oxford City,35
Port Vale,33
Rotherham,4
Shrewsbury,14
Southend,13
Stockport,5
Torquay,1
Wycombe,1
