Club,Arrests
Bradford,32
Brentford,6
Bristol City,49
Carlisle,17
Colchester,1
Coventry,30
Crawley,0
Crewe,9
Gillingham,8
Leyton Orient,2
MK Dons,0
Notts County,2
Oldham,15
Peterborough,15
Port Vale,53
Preston,22
Rotherham,36
Sheffield U,54
Shrewsbury,10
Stevenage,1
Swindon,17
Tranmere,9
Walsall,14
Wolves,55
