Club,Arrests
Arsenal,67
Aston Villa,36
Cardiff City,16
Chelsea,56
Crystal Palace,19
Everton,47
Fulham,24
Hull City,21
Liverpool,58
Man City,71
Man United,112
Newcastle,50
Norwich,4
Southampton,14
Stoke City,47
Sunderland,62
Swansea,9
Spurs,42
WBA,31
West Ham,37
