Club,Arrests
Arsenal,71
Aston Villa,39
Blackburn Rovers,32
Bolton Wanderers,24
Chelsea,71
Everton,35
Fulham,6
Liverpool,87
Man City,94
Man United,148
Newcastle,73
Norwich,17
QPR,24
Stoke City,38
Sunderland,66
Swansea,30
Spurs,30
WBA,44
Wigan,23
Wolves,41
