Club,Arrests
Accrington,0
AFC Wimbledon,9
Bristol Rovers,57
Burton Albion,0
Bury,9
Cheltenham,6
Chesterfield,35
Dagenham,0
Exeter,1
Fleetwood,7
Hartlepool,8
Mansfield,14
Morecambe,1
Newport,10
Northampton,4
Oxford,8
Plymouth,18
Portsmouth,21
Rochdale,4
Scunthorpe,3
Southend,10
Torquay,2
Wycombe,0
York City,1
