Club,Arrests
Arsenal,53
Aston Villa,51
Chelsea,92
Everton,44
Fulham,9
Liverpool,36
Man City,95
Man United,145
Newcastle,175
Norwich,12
QPR,20
Readin,9
Southampton,23
Stoke City,32
Sunderland,71
Swansea,13
Spurs,32
WBA,10
West Ham,67
Wigan, 18
