Club,Arrests
Bournemouth,18
Brentford,10
BHA,8
Bristol Rovers,13
Carlisle,6
Charlton,7
Colchester,8
Dagenham,0
Exeter,9
Hartlepool,0
Huddersfield,17
Leyton Orient,1
MK Dons,1
Notts County,6
Oldham,15
Peterborough,7
Plymouth Argyle,27
Rochdale,7
Sheffield,39
Southampton,36
Swindon,15
Tranmere,13
Walsall,1
Yeovil,3
