Club,Arrests
Barnsley,28
Birmingham City,55
Blackburn,31
Blackpool,11
Bolton,46
BHA,24
Bristol City,54
Burnley,31
Cardiff,26
Charlton,14
Crystal Palace,31
Derby,29
Huddersfield,19
Hull,25
Ipswich,4
Leeds,101
Leicester,22
Middlesbrough,44
Millwall,67
Notts Forest,38
Peterborough,29
Sheffield,35
Watford,21
Wolves,56
