Club,Arrests
Arsenal,107
Aston Villa,103
Birmingham City,74
Blackburn Rovers,37
Blackpool,26
Bolton Wanderers,52
Chelsea,74
Everton,45
Fulham,12
Liverpool,66
Man City,108
Man United,276
Newcastle,123
Stoke City,70
Sunderland,126
Spurs,48
WBA,35
West Ham,68
Wigan,25
Wolves,50
